temperature,humidity,number of people,result
0,65,51.97,ощутимо прохладная
0,70,52.46,промозглая
0,75,53.65,промозглая
0,80,54.81,промозглая
0,85,54.81,промозглая
0,90,54.81,промозглая
0,95,54.81,промозглая
0,100,54.81,промозглая
1,0,61.11,комфортно прохладная
1,5,61.11,комфортно прохладная
1,10,61.11,комфортно прохладная
1,15,61.11,комфортно прохладная
1,20,55.95,комфортно прохладная
1,25,52.05,ощутимо прохладная
1,30,54.04,ощутимо прохладная
1,35,54.81,ощутимо прохладная
1,40,54.81,ощутимо прохладная
1,45,54.81,ощутимо прохладная
1,50,54.81,ощутимо прохладная
1,55,53.88,ощутимо прохладная
1,60,52.94,ощутимо прохладная
1,65,51.97,ощутимо прохладная
1,70,52.46,промозглая
1,75,53.65,промозглая
1,80,54.81,промозглая
1,85,54.81,промозглая
1,90,54.81,промозглая
1,95,54.81,промозглая
1,100,54.81,промозглая
2,0,61.11,комфортно прохладная
2,5,61.11,комфортно прохладная
2,10,61.11,комфортно прохладная
2,15,61.11,комфортно прохладная
2,20,55.95,комфортно прохладная
2,25,52.05,ощутимо прохладная
2,30,54.04,ощутимо прохладная
2,35,54.81,ощутимо прохладная
2,40,54.81,ощутимо прохладная
2,45,54.81,ощутимо прохладная
2,50,54.81,ощутимо прохладная
2,55,53.88,ощутимо прохладная
2,60,52.94,ощутимо прохладная
2,65,51.97,ощутимо прохладная
2,70,52.46,промозглая
2,75,53.65,промозглая
2,80,54.81,промозглая
2,85,54.81,промозглая
2,90,54.81,промозглая
2,95,54.81,промозглая
2,100,54.81,промозглая
3,0,61.11,комфортно прохладная
3,5,61.11,комфортно прохладная
3,10,61.11,комфортно прохладная
3,15,61.11,комфортно прохладная
3,20,55.95,комфортно прохладная
3,25,52.05,ощутимо прохладная
3,30,54.04,ощутимо прохладная
3,35,54.81,ощутимо прохладная
3,40,54.81,ощутимо прохладная
3,45,54.81,ощутимо прохладная
3,50,54.81,ощутимо прохладная
3,55,53.88,ощутимо прохладная
3,60,52.94,ощутимо прохладная
3,65,51.97,ощутимо прохладная
3,70,52.46,промозглая
3,75,53.65,промозглая
3,80,54.81,промозглая
3,85,54.81,промозглая
3,90,54.81,промозглая
3,95,54.81,промозглая
3,100,54.81,промозглая
4,0,61.11,комфортно прохладная
4,5,61.11,комфортно прохладная
4,10,61.11,комфортно прохладная
4,15,61.11,комфортно прохладная
4,20,55.95,комфортно прохладная
4,25,52.05,ощутимо прохладная
4,30,54.04,ощутимо прохладная
4,35,54.81,ощутимо прохладная
4,40,54.81,ощутимо прохладная
4,45,54.81,ощутимо прохладная
4,50,54.81,ощутимо прохладная
4,55,53.88,ощутимо прохладная
4,60,52.94,ощутимо прохладная
4,65,51.97,ощутимо прохладная
4,70,52.46,промозглая
4,75,53.65,промозглая
4,80,54.81,промозглая
4,85,54.81,промозглая
4,90,54.81,промозглая
4,95,54.81,промозглая
4,100,54.81,промозглая
5,0,61.11,комфортно прохладная
5,5,61.11,комфортно прохладная
5,10,61.11,комфортно прохладная
5,15,61.11,комфортно прохладная
5,20,55.95,комфортно прохладная
5,25,52.05,ощутимо прохладная
5,30,54.04,ощутимо прохладная
5,35,54.81,ощутимо прохладная
5,40,54.81,ощутимо прохладная
5,45,54.81,ощутимо прохладная
5,50,54.81,ощутимо прохладная
5,55,53.88,ощутимо прохладная
5,60,52.94,ощутимо прохладная
5,65,51.97,ощутимо прохладная
5,70,52.46,промозглая
5,75,53.65,промозглая
5,80,54.81,промозглая
5,85,54.81,промозглая
5,90,54.81,промозглая
5,95,54.81,промозглая
5,100,54.81,промозглая
6,0,59.17,комфортно прохладная
6,5,59.17,комфортно прохладная
6,10,59.17,комфортно прохладная
6,15,59.17,комфортно прохладная
6,20,55.95,комфортно прохладная
6,25,52.05,ощутимо прохладная
6,30,53.88,ощутимо прохладная
6,35,53.88,ощутимо прохладная
6,40,53.88,ощутимо прохладная
6,45,53.88,ощутимо прохладная
6,50,53.88,ощутимо прохладная
6,55,53.88,ощутимо прохладная
6,60,52.94,ощутимо прохладная
6,65,51.97,ощутимо прохладная
6,70,52.46,промозглая
6,75,53.65,промозглая
6,80,53.88,промозглая
6,85,53.88,промозглая
6,90,53.88,промозглая
6,95,53.88,промозглая
6,100,53.88,промозглая
7,0,57.06,комфортно прохладная
7,5,57.06,комфортно прохладная
7,10,57.06,комфортно прохладная
7,15,57.06,комфортно прохладная
7,20,55.95,комфортно прохладная
7,25,52.05,ощутимо прохладная
7,30,52.94,ощутимо прохладная
7,35,52.94,ощутимо прохладная
7,40,52.94,ощутимо прохладная
7,45,52.94,ощутимо прохладная
